date,price (in lakhs),bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_age,years_since_reno,log_sqft_living,dist_to_seattle,dist_to_seattle_km,luxury_score
2014-10-13,2.313,2,1.0,1180,5650,1.0,0,0,3,7,1180,0.0,1955,0,98178,47.5112,-122.257,1340,5650,60,60,7.074116816197362,0.12109917423334716,11.97268710865934,10
2014-12-09,5.38,3,2.25,2570,7242,2.0,0,0,3,7,2170,400.0,1951,1991,98125,47.721,-122.319,1690,7639,64,24,7.852050207265889,0.11554501287376615,12.802819128182398,10
2015-02-25,1.8,2,1.0,770,10000,1.0,0,0,3,6,770,0.0,1933,0,98028,47.7379,-122.233,2720,8062,82,82,6.647688373563329,0.16482020507206982,16.41696039194398,9
2014-12-09,6.04,4,3.0,1960,5000,1.0,0,0,5,7,1050,910.0,1965,0,98136,47.5208,-122.393,1360,5000,50,50,7.581209826196346,0.10489027600307113,10.538233096639553,12
2015-02-18,5.1,3,2.0,1680,8080,1.0,0,0,3,8,1680,0.0,1987,0,98074,47.6168,-122.045,1800,7503,28,28,7.427144133408616,0.28729561430693157,21.55397908821327,11
2014-05-12,12.25,4,4.5,5420,101930,1.0,0,0,3,11,3890,1530.0,2001,0,98053,47.6561,-122.005,4760,101930,14,14,8.598035579260339,0.33088430002041663,25.131187907974724,14
2014-06-27,2.575,3,2.25,1715,6819,2.0,0,0,3,7,1715,0.0,1995,0,98003,47.3097,-122.327,2238,6819,20,20,7.447751280047908,0.2965438584762818,32.97152528040854,10
2015-01-15,2.9185,3,1.5,1060,9711,1.0,0,0,3,7,1060,0.0,1963,0,98198,47.4095,-122.315,1650,9711,52,52,6.966967138613983,0.19744189018544145,21.909721452568828,10
2015-04-15,2.295,3,1.0,1780,7470,1.0,0,0,3,7,1050,730.0,1960,0,98146,47.5123,-122.337,1780,8113,55,55,7.484930283289661,0.09402776185786654,10.447675514442086,10
2015-03-12,3.23,3,2.5,1890,6560,2.0,0,0,3,7,1890,0.0,2003,0,98038,47.3684,-122.031,2390,7570,12,12,7.544861068658458,0.38367961895309816,34.80033827531505,10
2015-04-03,6.625,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700.0,1965,0,98007,47.6007,-122.145,2210,8925,50,50,8.177796683277778,0.18718082166717914,14.040968436788015,11
2014-05-27,4.68,2,1.0,1160,6000,1.0,0,0,4,7,860,300.0,1942,0,98115,47.69,-122.292,1330,6000,73,73,7.057036981697891,0.0929002152849984,9.790352463265407,11
2014-05-28,3.1,3,1.0,1430,19901,1.5,0,0,4,7,1430,0.0,1927,0,98028,47.7558,-122.229,1780,12697,88,88,7.266128779556451,0.1816859102957612,18.338161882240634,11
2014-10-07,4.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0.0,1977,0,98074,47.6127,-122.045,1370,10208,38,38,7.223295679562314,0.28717357120737486,21.534703838609914,11
2015-03-12,5.3,5,2.0,1810,4850,1.5,0,0,3,7,1810,0.0,1900,0,98107,47.67,-122.394,1360,4850,115,115,7.501634457883413,0.08889347557611368,8.47570333296511,10
